name,water_parameters,fish_group,compatibility_with_crabs,temperature,pelvic_region,behaviour,compatibility_with_fish,tank_size,breeding,visual_effect,compatibility_with_shrimps,origin,diet,vegetation_possible,compatibility_with_snails_shells,compatibility_with_dwarf_crayfish,final_size,level_of_difficulty,characteristics,compatibility_with_large_crayfish,life_expectancy
Emerald Mailer Catfish - Brochis splendens,soft to medium hard,Catfish,,20-25 °C,below,,,100 l (ca. 80cm),hard,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,no,no,4-8 cm,2 - normal,,,
Cameroon Featherbeard Catfish - Synodontis velifer - 4cm,medium hard to hard,Catfish,,25-30 °C,below,,,400/450 l (ca. 150cm),hard,especially colorful,socialization not possible,Africa,carnivore - meat eater,yes,no,no,> 12cm,2 - normal,,,
Shark catfish - Pangasius sutchi,soft to medium hard,Catfish,,25-30 °C,center,,,over 1000l,hard,forms precincts,socialization not possible,Asia,omnivorous - omnivorous,conditional (see description),no,no,> 12cm,4 - special,,,
L240 - Sailfin snouttooth catfish - Leporacanthicus sp. - 6cm,soft to hard,Catfish,,25-30 °C,below,,,400/450 l (ca. 150cm),hard,especially colorful,socialization not possible,South America,carnivore - meat eater,yes,yes,no,> 12cm,2 - normal,,,
L226 - Pink Tiger Pleco - Panaqolus changae - 5-6cm,soft to medium hard,Catfish,,25-30 °C,below,,,100 l (ca. 80cm),medium,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,herbivore - plant eater,no,yes,no,8-12 cm,2 - normal,,,
L340 - Mega Clown - Hypancistrus spec - 5-6cm,soft to hard,Catfish,,25-30 °C,below,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,yes,yes,no,8-12 cm,2 - normal,,,
Corydoras atropersonatus,soft to medium hard,Catfish,,20-25 °C,below,,,54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,carnivore - meat eater,conditional (see description),yes,no,4-8 cm,2 - normal,,,
Spotted Fin Loach - Beaufortia leveretti,soft to medium hard,Loaches,,20-25 °C,below,,,200 l (ca. 100cm),hard,swarm behaviour,"with dwarf shrimp, offspring is not eaten",Asia,limnivorous - growth eater (algae),yes,yes,no,8-12 cm,4 - special,,,
L128 - Blue Phantom - Hemiancistrus spec,soft to medium hard,Catfish,,25-30 °C,below,,,400/450 l (ca. 150cm),medium,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,limnivorous - growth eater (algae),conditional (see description),yes,yes,> 12cm,2 - normal,,,
Blackback Mailed Catfish - Corydoras metae,soft to hard,Catfish,,25-30 °C,below,,,100 l (ca. 80cm),simply,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,,,
Eyespot Spiny Eel - Macrognathus aculeatus Red fin,soft to medium hard,Spiny eels,,25-30 °C,below,,,250/300 l (ca. 120cm),medium,especially colorful,socialization not possible,Asia,carnivore - meat eater,conditional (see description),yes,no,> 12cm,2 - normal,,,
Corydoras rabauti,soft to medium hard,Catfish,,20-25 °C,below,,,100 l (ca. 80cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,,,
White-cheeked Goby - Rhinogobius duospilus,soft to medium hard,Gobies,,20-25 °C,below,,,54 l (ca. 60cm),simply,especially colorful,with shrimp > 6 cm ,Asia,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,,,
Mouse Loach - Yasuhikotakia morleti,soft to medium hard,Loaches,,25-30 °C,below,,,100 l (ca. 80cm),hard,swarm behaviour,socialization not possible,Asia,molluskivor - snail eater,conditional (see description),no,no,4-8 cm,1 - easy,,,
L 190 Catfish - Panaque cf. nigrolineatus,soft to hard,Catfish,no,25-30 °C,below,calm,"yes, with peaceful fish",400/450 l (ca. 150cm),medium,interesting body shape,"with dwarf shrimp, offspring is not eaten",South America,herbivore - plant eater,conditional (see description),yes,yes,> 12cm,4 - special,growth eater,no,10+ years
Longfin sturgeon catfish DNZ - Sturisoma festivum,soft to medium hard,Catfish,no,22-25 °C,below,calm,"yes, with peaceful fish",250/300 l (ca. 120cm),medium,interesting body shape,"with dwarf shrimp, offspring is not eaten",South America,limnivorous - growth eater (algae),yes,yes,no,> 12cm,2 - normal,growth eater,no,
Red Fin Sucker - Pseudogastromyzon myersi red fin,soft to medium hard,Loaches,no,18-24 °C,below,active,conditional (see description),100 l (ca. 80cm),medium,interesting body shape,"with dwarf shrimp, offspring is not eaten",Asia,limnivorous - growth eater (algae),yes,yes,no,4-8 cm,2 - normal,form family groups,no,
Purple Fin Loach - Pseudogastromyzon laticeps,soft to medium hard,Loaches,no,18-24 °C,below,active,conditional (see description),100 l (ca. 80cm),medium,interesting body shape,"with dwarf shrimp, offspring is not eaten",Asia,limnivorous - growth eater (algae),yes,yes,no,4-8 cm,2 - normal,dynamic group behaviour,no,
Red loach armored catfish - Aspidoras C125,soft to medium hard,Catfish,no,22-25 °C,below,active,"yes, with peaceful fish",54 l (ca. 60cm),simply,interesting behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,1-4 cm,1 - easy,interesting color,no,10+ years
Dwarf loach armored catfish - Aspidoras pauciradiatus,soft to medium hard,Catfish,no,22-28 °C,below,active,"yes, with peaceful fish",54 l (ca. 60cm),simply,interesting behaviour,"with dwarf shrimp, offspring may be eaten",South America,,yes,yes,no,1-4 cm,1 - easy,form family groups,no,10+ years
L401 - Alenquer King Tiger - Hypancistrus sp.,soft to medium hard,Catfish,no,25-30 °C,below,calm,"yes, with peaceful fish",200 l (ca. 100cm),medium,interesting body shape,"with dwarf shrimp, offspring is not eaten",South America,limnivorous - growth eater (algae),conditional (see description),yes,no,> 12cm,2 - normal,growth eater,no,5-10 years
Veil catfish - Ancistrus spec,soft to hard,Catfish,no,20-30 °C,below,normal,"yes, with peaceful fish",100 l (ca. 80cm),simply,interesting body shape,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,conditional (see description),yes,no,8-12 cm,1 - easy,growth eater,no,5-10 years
Catfish - Ancistrus sp. - GRNLO,soft to hard,Catfish,,18-28 °C,below,,,100 l (ca. 80cm),simply,forms precincts,"with dwarf shrimp, offspring is not eaten",South America,limnivorous - growth eater (algae),yes,yes,conditional (see description),> 12cm,1 - easy,,,
L201 - Orinoco Angelfish - Hypancistrus sp. 6cm,soft to medium hard,Catfish,,25-30 °C,below,,,100 l (ca. 80cm),medium,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,conditional (see description),yes,no,8-12 cm,2 - normal,,,
Green Panaque - Panaque sp. - L191,soft to medium hard,Catfish,,25-30 °C,below,,,over 1000l,hard,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,conditional (see description),yes,yes,> 12cm,4 - special,,,
Witch Catfish - Rineloricaria fallax - 8-10cm,soft to medium hard,Catfish,,25-30 °C,below,,,100 l (ca. 80cm),medium,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),8-12 cm,1 - easy,,,
Redfin Corydoras DNZ ​​- Corydoras sterbai,soft to medium hard,Catfish,,25-30 °C,below,,,100 l (ca. 80cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,1 - easy,,,
Nanus Armored Catfish - Corydoras nanus - DNZ,soft to medium hard,Catfish,,20-25 °C,below,,,100 l (ca. 80cm),hard,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,2 - normal,,,
Clown Loach - Botia macracantha - S,medium hard water,Loaches,,25-30 °C,below,,,400/450 l (ca. 150cm),hard,forms precincts,socialization not possible,Asia,molluskivor - snail eater,yes,no,no,> 12cm,4 - special,,,
Line Thorn Catfish - Platydoras costatus,soft to medium hard,Catfish,,25-30 °C,below,,,400/450 l (ca. 150cm),hard,swarm behaviour,socialization not possible,South America,omnivorous - omnivorous,yes,no,no,> 12cm,4 - special,,,
Tortoiseshell Catfish - LDA 16 - Ancistrus sp. - DNZ,soft to medium hard,Catfish,,20-25 °C,below,,,200 l (ca. 100cm),simply,forms precincts,with shrimp 4-6 cm size,South America,limnivorous - growth eater (algae),conditional (see description),yes,no,8-12 cm,2 - normal,,,
L46 Zebra loricariid - Hypancistrus zebra,soft to medium hard,Catfish,,25-30 °C,below,,,100 l (ca. 80cm),medium,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,conditional (see description),no,8-12 cm,2 - normal,,,
Elegant armored catfish - Corydoras elegans,soft to medium hard,Catfish,,25-30 °C,below,,,54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,2 - normal,,,
Pinocchio witch catfish - Hemiodontichthys acipenserinus - 8-10cm,soft to medium hard,Catfish,,25-30 °C,below,,,100 l (ca. 80cm),medium,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),8-12 cm,1 - easy,,,
Python Spiny Eel - Mastacembelus armatus,soft to medium hard,Spiny eels,,25-30 °C,below,,,600 l (ca. 180cm),hard,especially colorful,socialization not possible,Asia,carnivore - meat eater,conditional (see description),yes,no,> 12cm,4 - special,,,
Spotted Thorn Eye - Pangio kuhlii,soft to medium hard,Loaches,,25-30 °C,below,,,54 l (ca. 60cm),hard,especially colorful,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,no,8-12 cm,2 - normal,,,
Callous Catfish - Megalechis thoracata (Hoplosternum thoracatum) 5cm,soft to medium hard,Catfish,,18-28 °C,below,,,400/450 l (ca. 150cm),medium,forms territories (when spawning),socialization not possible,South America,omnivorous - omnivorous,conditional (see description),yes,no,> 12cm,2 - normal,,,
Spotted catfish - Synodontis multipunctatus,medium hard to hard,Catfish,,25-30 °C,below,,,400/450 l (ca. 150cm),hard,especially colorful,socialization not possible,Africa,carnivore - meat eater,yes,no,no,> 12cm,2 - normal,,,
L270 - Chocolate Zebra Catfish - Hypancistrus sp. 5cm,soft to medium hard,Catfish,,25-30 °C,below,,,200 l (ca. 100cm),simply,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,limnivorous - growth eater (algae),yes,yes,no,> 12cm,1 - easy,,,
"Corydoras aeneus ""black"" - Corydoras aeneus - DNZ",soft to medium hard,Catfish,,25-30 °C,below,,,100 l (ca. 80cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,,,
L 144 golden catfish - Ancistrus spec.,soft to hard,Catfish,no,22-28 °C,below,normal,"yes, with peaceful fish",100 l (ca. 80cm),simply,interesting body shape,"with dwarf shrimp, offspring is not eaten",South America,limnivorous - growth eater (algae),yes,yes,yes,> 12cm,1 - easy,growth eater,no,3-5 years
Ear grating Loricariidae - Otocinclus,soft to medium hard,Catfish,,20-25 °C,below,,,54 l (ca. 60cm),hard,swarm behaviour,"with dwarf shrimp, offspring is not eaten",South America,limnivorous - growth eater (algae),yes,yes,no,1-4 cm,2 - normal,,,
Ocelot goby - Brachygobius xantomelas,soft to medium hard,Gobies,,20-25 °C,below,,,54 l (ca. 60cm),hard,forms precincts,"with dwarf shrimp, offspring is eaten",Asia,carnivore - meat eater,yes,yes,no,1-4 cm,2 - normal,,,
Pastel Goby - Tateurdina ocellicauda,soft to medium hard,Gobies,,20-25 °C,below,,,54 l (ca. 60cm),simply,especially colorful,with shrimp > 6 cm ,Asia,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,,,
Spotted Armored Catfish - Corydoras punctatus,soft to medium hard,Catfish,,20-25 °C,below,,,54 l (ca. 60cm),hard,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,conditional (see description),no,,2 - normal,,,
African-finned sucker - Sewellia lineolata,soft to hard,Loaches,,18-28 °C,below,,,100 l (ca. 80cm),hard,swarm behaviour,"with dwarf shrimp, offspring is not eaten",Asia,omnivorous - omnivorous,yes,yes,no,4-8 cm,2 - normal,,,
Golden catfish - Ancistrus albino,soft to hard,Catfish,,18-28 °C,below,,,100 l (ca. 80cm),simply,forms precincts,"with dwarf shrimp, offspring is not eaten",South America,limnivorous - growth eater (algae),yes,yes,conditional (see description),> 12cm,1 - easy,,,
Goldstreaked Armored Catfish - Corydoras schultzei,soft to medium hard,Catfish,,25-30 °C,below,,,54 l (ca. 60cm),simply,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,,,
2 x steel blue Johanni-Maingano Melanochromis cyaneorhabdos (johannii Maingano) - pair,hard water,Cichlids,,25-30 °C,center,,,250/300 l (ca. 120cm),medium,especially colorful,socialization not possible,Africa,carnivore - meat eater,conditional (see description),conditional (see description),no,8-12 cm,2 - normal,,,
"3x zebra cichlid ""red"" - Pseudotropheus estherae - TRIO (2W/1M)",hard water,Cichlids,,25-30 °C,center,,,250/300 l (ca. 120cm),medium,forms precincts,socialization not possible,Africa,limnivorous - growth eater (algae),conditional (see description),yes,no,8-12 cm,2 - normal,,,
Scalar color mix - Pterophyllum scalare,soft water,Cichlids,,25-30 °C,center,,,250/300 l (ca. 120cm),medium,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,yes,conditional (see description),no,> 12cm,2 - normal,,,
Tiger Mouthbrooder DNZ - Nimbrochromis livingstonii,soft to medium hard,Cichlids,no,22-28 °C,center,normal,conditional (see description),over 1000l,medium,interesting behaviour,socialization not possible,Africa,carnivore - meat eater,yes,yes,no,> 12cm,2 - normal,interesting parental care,no,
2x Bulgehead Mouthbrooder - Cyrtocara moorii - DNZ pair,medium hard water,Cichlids,,25-30 °C,center,,,400/450 l (ca. 150cm),medium,forms territories (when spawning),socialization not possible,Africa,limnivorous - growth eater (algae),conditional (see description),no,no,> 12cm,2 - normal,,,
Eyespot Cichlid - Heros severus,soft to medium hard,Cichlids,no,24-28 °C,below,calm,conditional (see description),400/450 l (ca. 150cm),medium,becomes particularly large,socialization not possible,South America,omnivorous - omnivorous,conditional (see description),yes,no,> 12cm,2 - normal,interesting parental care,no,
2 x Purple Perch - Pelvicachromis pulcher - DNZ pair,medium hard water,Cichlids,,25-30 °C,below,,,54 l (ca. 60cm),simply,especially colorful,socialization not possible,Africa,omnivorous - omnivorous,yes,yes,no,8-12 cm,1 - easy,,,
2 x Butterfly Cichlid - Microgeophagus ramirezi - DNZ pair,soft to hard,Cichlids,,25-30 °C,center,,,54 l (ca. 60cm),medium,especially colorful,socialization not possible,South America,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,,,
Orange Seam Cichlid - Andinocara rivulatus,soft to hard,Cichlids,no,22-28 °C,below,active,no,400/450 l (ca. 150cm),medium,interesting behaviour,socialization not possible,South America,carnivore - meat eater,conditional (see description),yes,no,> 12cm,4 - special,interesting parental care,no,
2x Scalar Marble - Pterophyllum scalare - DNZ,soft water,Cichlids,,25-30 °C,center,,,250/300 l (ca. 120cm),,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,yes,conditional (see description),no,> 12cm,2 - normal,,,
Scalar seal point - Pterophyllum scalare,soft to medium hard,Cichlids,no,22-28 °C,center,calm,conditional (see description),250/300 l (ca. 120cm),medium,interesting body shape,socialization not possible,South America,carnivore - meat eater,yes,yes,no,> 12cm,1 - easy,interesting parental care,no,5-10 years
2x Turquoise Goldfish - Melanochromis auratus - pair,soft to hard,Cichlids,,25-30 °C,center,,,400/450 l (ca. 150cm),medium,especially colorful,socialization not possible,Africa,limnivorous - growth eater (algae),conditional (see description),no,no,8-12 cm,3 - difficult,,,
2 x flag cichlid - Mesonauta festivus - DNZ pair,soft to medium hard,Cichlids,,20-25 °C,center,,,250/300 l (ca. 120cm),medium,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,,conditional (see description),no,> 12cm,2 - normal,,,
2x giraffe perch - Nimbochromis venustus - DNZ 4cm - pair,soft to medium hard,Cichlids,,25-30 °C,center,,,250/300 l (ca. 120cm),medium,forms precincts,socialization not possible,Africa,carnivore - meat eater,conditional (see description),no,no,> 12cm,2 - normal,,,
Discus red melon DNZ - Symphysodon aequifasciatus,soft water,Cichlids,no,25-30 °C,center,normal,"yes, with peaceful fish",400/450 l (ca. 150cm),hard,especially colorful,with shrimp 4-6 cm size,South America,omnivorous - omnivorous,yes,yes,no,,4 - special,interesting color,no,10+ years
Snail cichlid DNZ - Lamprologus ocellatus,medium hard to hard,Cichlids,no,24-28 °C,below,normal,conditional (see description),100 l (ca. 80cm),medium,forms precincts,socialization not possible,Africa,carnivore - meat eater,conditional (see description),yes,no,4-8 cm,2 - normal,interesting parental care,no,5-10 years
Chindongo saulosi CORAL RED - 7-9cm,soft to medium hard,Cichlids,no,22-28 °C,below,normal,conditional (see description),250/300 l (ca. 120cm),medium,forms precincts,socialization not possible,Africa,omnivorous - omnivorous,no,yes,no,8-12 cm,2 - normal,interesting parental care,no,
Discus turquoise DNZ - Symphysodon aequifasciatus,soft water,Cichlids,no,28-31 °C,center,normal,"yes, with peaceful fish",400/450 l (ca. 150cm),hard,interesting body shape,socialization not possible,South America,omnivorous - omnivorous,yes,yes,no,> 12cm,3 - difficult,interesting color,no,10+ years
2x Striped Snail Cichlid - Neolamprologus multifasciatus - DNZ pair,hard water,Cichlids,,25-30 °C,below,,,100 l (ca. 80cm),medium,forms territories (when spawning),socialization not possible,Africa,carnivore - meat eater,conditional (see description),no,no,1-4 cm,2 - normal,,,
3x Blue Yellow Mouthbrooder - Pseudotropheus acei - TRIO (2W/1M) - DNZ 4 cm,soft to medium hard,Cichlids,,20-25 °C,center,,,250/300 l (ca. 120cm),medium,forms territories (when spawning),socialization not possible,Africa,limnivorous - growth eater (algae),conditional (see description),yes,no,8-12 cm,2 - normal,,,
Gabonese cichlid DNZ - Hemichromis spec. Gabon,medium hard to hard,Cichlids,no,24-28 °C,below,normal,conditional (see description),200 l (ca. 100cm),simply,forms precincts,socialization not possible,Africa,carnivore - meat eater,yes,yes,no,8-12 cm,2 - normal,interesting parental care,no,
2x Red-crested Eartheater - Geophagus steindachneri - DNZ 5 cm,soft to medium hard,Cichlids,,25-30 °C,center,,,250/300 l (ca. 120cm),medium,forms territories (when spawning),socialization not possible,South America,omnivorous - omnivorous,no,,no,> 12cm,2 - normal,,,
2x Discus - Symphysodon aequifasciatus - DNZ,soft water,Cichlids,no,25-30 °C,center,calm,conditional (see description),400/450 l (ca. 150cm),medium,especially colorful,socialization not possible,South America,omnivorous - omnivorous,yes,yes,no,> 12cm,4 - special,interesting parental care,no,10+ years
2x five-striped cichlid - Neolamprologus tretocephalus - DNZ - pair,soft to hard,Cichlids,,25-30 °C,center,,,250/300 l (ca. 120cm),medium,especially colorful,socialization not possible,Africa,carnivore - meat eater,conditional (see description),no,no,> 12cm,2 - normal,,,
Synodontis polly white - 4-6cm,medium hard water,Catfish,no,22-28 °C,below,active,"yes, with peaceful fish",,medium,especially colorful,socialization not possible,Africa,omnivorous - omnivorous,yes,no,no,8-12 cm,2 - normal,dynamic group behaviour,no,3-5 years
2x Red Cichlid - Hemichromis lifalili - DNZ,soft to medium hard,Cichlids,,25-30 °C,below,,,200 l (ca. 100cm),simply,forms precincts,socialization not possible,Africa,omnivorous - omnivorous,conditional (see description),no,no,> 12cm,1 - easy,,,
2x snail cichlid gold - Lamprologus ocellatus - DNZ pair,medium hard water,Cichlids,,25-30 °C,below,,,54 l (ca. 60cm),medium,forms territories (when spawning),socialization not possible,Africa,carnivore - meat eater,conditional (see description),no,no,4-8 cm,2 - normal,,,
"2x Red Dwarf Cichlid - Apistogramma agassizii ""Red"" - DNZ pair",soft water,Cichlids,,25-30 °C,below,,,100 l (ca. 80cm),medium,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,yes,yes,yes,8-12 cm,1 - easy,,,
2 x Fairy Bass - Neolamprologus brichardi - pair,hard water,Cichlids,,25-30 °C,center,,,200 l (ca. 100cm),medium,forms precincts,socialization not possible,Africa,carnivore - meat eater,conditional (see description),conditional (see description),no,8-12 cm,2 - normal,,,
2x blue spotted cichlid - Aequidens pulcher - DNZ pair,soft to medium hard,Cichlids,no,22-28 °C,below,normal,conditional (see description),250/300 l (ca. 120cm),simply,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,yes,yes,no,> 12cm,2 - normal,interesting color,conditional (see description),3-5 years
"2 x blue spotted perch ""Neon Blue"" - Aequidens pulcher - DNZ - 5cm - pair",soft to medium hard,Cichlids,,20-25 °C,center,,,200 l (ca. 100cm),medium,especially colorful,socialization not possible,South America,carnivore - meat eater,yes,no,no,> 12cm,1 - easy,,,
Thick Skin Mouthbrooder - Haplochromis CH 44,medium hard to hard,Cichlids,no,24-28 °C,below,normal,conditional (see description),250/300 l (ca. 120cm),simply,forms precincts,socialization not possible,Africa,carnivore - meat eater,yes,yes,no,> 12cm,2 - normal,interesting parental care,no,
"3x zebra cichlid ""blue-red"" - Pseudotropheus estherae - TRIO (2W/1M)",hard water,Cichlids,,25-30 °C,center,,,250/300 l (ca. 120cm),medium,forms precincts,socialization not possible,Africa,limnivorous - growth eater (algae),conditional (see description),yes,no,8-12 cm,2 - normal,,,
Discus color mix DNZ - Symphysodon aequifasciatus,soft water,Cichlids,no,25-30 °C,everywhere,calm,conditional (see description),400/450 l (ca. 150cm),medium,especially colorful,socialization not possible,South America,omnivorous - omnivorous,yes,yes,no,> 12cm,4 - special,interesting color,no,10+ years
"2 x butterfly cichlid ""electric blue"" - Microgeophagus ramirezi - pair",soft to hard,Cichlids,,25-30 °C,center,,,54 l (ca. 60cm),medium,especially colorful,socialization not possible,South America,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,,,
Malawi cichlid color mix - Cichlidae spec.,medium hard to hard,Cichlids,no,24-28 °C,below,normal,conditional (see description),100 l (ca. 80cm),simply,forms precincts,socialization not possible,Africa,carnivore - meat eater,yes,yes,no,> 12cm,2 - normal,interesting parental care,no,
Nander Cichlid - Altolamprologus compressiceps,medium hard water,Cichlids,,20-25 °C,below,,,200 l (ca. 100cm),hard,forms territories (when spawning),socialization not possible,Africa,carnivore - meat eater,conditional (see description),no,no,> 12cm,2 - normal,,,
2x azure cichlids - Sciaenochromis freyeri DNZ pairs,soft to medium hard,Cichlids,,18-28 °C,center,,,400/450 l (ca. 150cm),medium,forms territories (when spawning),socialization not possible,Africa,carnivore - meat eater,conditional (see description),no,no,> 12cm,2 - normal,,,
"2x Scalar ""White Marble"" - Pterophyllum scalare - DNZ",soft to medium hard,Cichlids,,25-30 °C,center,,,250/300 l (ca. 120cm),medium,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,yes,yes,no,> 12cm,2 - normal,,,
"2x scalar ""Blue Pearl"" - Pterophyllum scalare - DNZ",soft to medium hard,Cichlids,,25-30 °C,center,,,250/300 l (ca. 120cm),medium,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,yes,yes,no,> 12cm,2 - normal,,,
2 x Forktail Checkerboard Cichlid - Dicrossus filamentosus - 4cm - pair,soft water,Cichlids,,25-30 °C,center,,,100 l (ca. 80cm),hard,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,yes,conditional (see description),no,8-12 cm,3 - difficult,,,
2x Scalar Zebra - Pterophyllum scalare - DNZ,soft to medium hard,Cichlids,no,22-28 °C,center,calm,conditional (see description),250/300 l (ca. 120cm),medium,interesting body shape,socialization not possible,South America,carnivore - meat eater,yes,yes,no,> 12cm,1 - easy,interesting parental care,no,5-10 years
Kaiser cichlid check - Aulonocara jam Cat,medium hard water,Cichlids,,20-25 °C,center,,,250/300 l (ca. 120cm),medium,forms territories (when spawning),socialization not possible,Africa,carnivore - meat eater,conditional (see description),no,no,> 12cm,2 - normal,,,
"2x scalar ""mix"" - Pterophyllum scalare - DNZ",soft to medium hard,Cichlids,,25-30 °C,center,,,250/300 l (ca. 120cm),medium,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,yes,yes,no,> 12cm,2 - normal,,,
"2x peacock cichlid ""red oscar"" - Astronotus ocellatus - pair",soft to medium hard,Cichlids,,20-25 °C,center,,,600 l (ca. 180cm),medium,especially colorful,socialization not possible,South America,carnivore - meat eater,conditional (see description),no,no,> 12cm,2 - normal,,,
Four-striped Slim Cichlid - Julidochromis regani DNZ,hard water,Cichlids,,25-30 °C,center,,,200 l (ca. 100cm),medium,forms territories (when spawning),socialization not possible,Africa,carnivore - meat eater,conditional (see description),no,no,> 12cm,2 - normal,,,
"2x dwarf cichlid - Apistogramma agassizii ""Fire Red"" - DNZ pair",soft water,Cichlids,,25-30 °C,below,,,100 l (ca. 80cm),medium,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,yes,yes,yes,8-12 cm,1 - easy,,,
Blue Mouthbrooder DNZ - Sciaenochromis ahli,,Cichlids,no,25-30 °C,,normal,"yes, with peaceful fish",200 l (ca. 100cm),medium,,"with dwarf shrimp, offspring may be eaten",Africa,omnivorous - omnivorous,yes,yes,yes,> 12cm,2 - normal,interesting parental care,no,
2 x red line dwarf cichlid - Apistogramma hongsloi - DNZ pair,soft water,Cichlids,,25-30 °C,below,,,100 l (ca. 80cm),medium,forms precincts,socialization not possible,South America,carnivore - meat eater,yes,yes,no,8-12 cm,2 - normal,,,
Scalar cobalt green mirror - Pterophyllum scalare,soft to medium hard,Cichlids,no,22-28 °C,center,calm,conditional (see description),250/300 l (ca. 120cm),medium,interesting body shape,socialization not possible,South America,carnivore - meat eater,conditional (see description),yes,no,> 12cm,1 - easy,becomes particularly large,no,5-10 years
2x slim cichlids Dickfeldi - Julidochromis dickfeldi - 5cm,hard water,Cichlids,,25-30 °C,center,,,100 l (ca. 80cm),hard,forms territories (when spawning),socialization not possible,Africa,carnivore - meat eater,conditional (see description),no,no,4-8 cm,2 - normal,,,
2 x Firemouth Cichlid - Thorichthys meeki - DNZ pair,soft to medium hard,Cichlids,,25-30 °C,center,,,400/450 l (ca. 150cm),medium,forms precincts,socialization not possible,South America,omnivorous - omnivorous,conditional (see description),no,no,> 12cm,2 - normal,,,
Discus heckel DNZ - Symphysodon discus,soft water,Cichlids,no,28-31 °C,center,calm,"yes, with peaceful fish",400/450 l (ca. 150cm),hard,especially colorful,socialization not possible,South America,omnivorous - omnivorous,conditional (see description),yes,no,> 12cm,3 - difficult,interesting color,no,10+ years
2x Scalar Gold - Pterophyllum scalare - DNZ,soft to medium hard,Cichlids,,25-30 °C,center,,,250/300 l (ca. 120cm),medium,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,yes,yes,no,> 12cm,2 - normal,,,
Scalar gold XL - Pterophyllum scalare,soft to medium hard,Cichlids,no,22-28 °C,center,normal,"yes, with peaceful fish",250/300 l (ca. 120cm),hard,especially colorful,socialization not possible,South America,carnivore - meat eater,yes,yes,no,> 12cm,2 - normal,interesting color,no,5-10 years
Scalar marble XL - Pterophyllum scalare,soft water,Cichlids,,25-30 °C,center,,,250/300 l (ca. 120cm),medium,forms territories (when spawning),socialization not possible,South America,carnivore - meat eater,yes,conditional (see description),no,> 12cm,2 - normal,,,
3x Kaiser cichlid red - Aulonocara fire fish - TRIO (1m/2w) DNZ,hard water,Cichlids,,25-30 °C,center,,,250/300 l (ca. 120cm),medium,especially colorful,socialization not possible,Africa,carnivore - meat eater,conditional (see description),no,no,> 12cm,2 - normal,,,
